customer_id,customer_name,city,age,gender,signup_date
1,Shamik Mahal,Bangalore,29,Female,2025-04-20
2,Ryan Sarin,Hyderabad,53,Male,2024-07-25
3,Aayush Varughese,Delhi,21,Female,2025-07-26
4,Raunak Ravel,Hyderabad,22,Male,2024-12-26
5,Anika Raja,Hyderabad,54,Male,2026-01-13
6,Zoya Krishnan,Mumbai,25,Female,2024-09-23
7,Ishaan Grewal,Delhi,59,Female,2025-11-20
8,Prisha Tandon,Delhi,45,Female,2025-10-12
9,Vivaan Yogi,Delhi,48,Male,2026-04-25
10,Darshit Vaidya,Hyderabad,26,Female,2024-10-22
11,Anvi Toor,Bangalore,46,Female,2024-07-08
12,Neelofar Mane,Delhi,31,Male,2025-07-14
13,Fateh Srinivas,Hyderabad,57,Female,2025-10-27
14,Zain Sidhu,Mumbai,58,Male,2025-04-18
15,Zeeshan Goel,Bangalore,39,Female,2025-09-04
16,Rasha Manne,Mumbai,28,Male,2024-11-29
17,Ivan Handa,Bangalore,40,Female,2025-09-24
18,Zaina Date,Hyderabad,18,Female,2024-10-02
19,Chirag Dey,Kolkata,54,Male,2025-12-24
20,Aarush Anne,Bangalore,38,Male,2025-06-18
21,Chirag Dada,Mumbai,43,Female,2025-11-22
22,Mehul Ramaswamy,Hyderabad,53,Male,2024-11-25
23,Taimur Zacharia,Bangalore,40,Male,2026-05-13
24,Samiha Lad,Kolkata,18,Male,2024-10-25
25,Baiju Kamdar,Kolkata,57,Male,2024-07-16
26,Shamik Baral,Delhi,32,Female,2024-12-01
27,Hrishita Borra,Delhi,38,Female,2026-05-02
28,Anay Raj,Mumbai,26,Male,2025-03-14
29,Nishith Soman,Bangalore,26,Male,2025-01-31
30,Dhanuk Barad,Bangalore,27,Male,2024-12-18
31,Divyansh Ganesh,Delhi,43,Male,2025-05-04
32,Anika Bansal,Bangalore,58,Female,2026-03-20
33,Samarth Borde,Bangalore,52,Female,2026-03-19
34,Shray Borra,Kolkata,42,Male,2025-05-09
35,Alisha Dara,Delhi,43,Male,2025-12-13
36,Akarsh Mann,Hyderabad,28,Male,2025-01-22
37,Indrajit Sangha,Delhi,55,Female,2025-01-02
38,Trisha Karan,Hyderabad,19,Male,2025-10-21
39,Lakshay Salvi,Kolkata,24,Female,2024-05-27
40,Prisha Behl,Mumbai,35,Male,2025-05-18
41,Sumer Bhatia,Bangalore,44,Female,2025-03-02
42,Devansh Loyal,Kolkata,51,Male,2024-05-17
43,Zeeshan Verma,Bangalore,44,Female,2025-04-18
44,Purab Basak,Mumbai,34,Male,2025-10-24
45,Amira Swaminathan,Mumbai,41,Male,2025-10-12
46,Rhea Bobal,Kolkata,42,Male,2025-03-15
47,Dhanush De,Mumbai,24,Female,2026-03-08
48,Sara Chawla,Hyderabad,23,Male,2026-01-12
49,Ishita Sampath,Mumbai,41,Female,2025-06-27
50,Riya Chakraborty,Bangalore,50,Female,2026-01-29
51,Sana Rege,Bangalore,46,Male,2024-09-27
52,Abram Bandi,Bangalore,39,Male,2024-06-20
53,Ela Brahmbhatt,Bangalore,43,Male,2025-06-27
54,Anay Venkatesh,Hyderabad,45,Female,2026-03-16
55,Baiju Dube,Delhi,38,Male,2025-06-13
56,Kiaan Butala,Kolkata,24,Female,2025-09-18
57,Jayant Kalla,Bangalore,34,Female,2025-03-21
58,Kaira Mani,Mumbai,37,Male,2025-04-22
59,Rohan Sule,Bangalore,58,Male,2025-07-18
60,Ranbir Guha,Mumbai,37,Male,2025-05-29
61,Mishti Varma,Mumbai,39,Male,2026-03-16
62,Devansh Chakraborty,Bangalore,45,Male,2025-05-01
63,Divij Deol,Hyderabad,57,Male,2025-07-28
64,Drishya Bajaj,Mumbai,24,Female,2024-07-31
65,Sumer Chauhan,Mumbai,18,Female,2024-08-11
66,Dhruv Ghosh,Bangalore,49,Female,2024-11-16
67,Darshit Dixit,Mumbai,30,Male,2025-06-04
68,Kimaya Vala,Mumbai,47,Female,2025-01-24
69,Tanya Sundaram,Bangalore,40,Female,2026-01-03
70,Anahi Bala,Bangalore,36,Female,2025-04-21
71,Ritvik Batra,Kolkata,49,Female,2024-10-02
72,Khushi Bains,Hyderabad,47,Female,2024-10-12
73,Aniruddh Yogi,Hyderabad,46,Male,2025-08-23
74,Kimaya Sekhon,Mumbai,46,Male,2024-12-31
75,Sahil Goel,Hyderabad,47,Female,2024-05-30
76,Saanvi Dugar,Mumbai,33,Female,2026-02-28
77,Divyansh Mallick,Kolkata,57,Female,2026-03-15
78,Rohan Reddy,Bangalore,36,Male,2025-04-16
79,Kashvi Rama,Bangalore,35,Male,2025-12-23
80,Mannat Shukla,Bangalore,18,Female,2025-07-12
81,Charvi Sengupta,Hyderabad,31,Male,2025-09-08
82,Kashvi Dada,Kolkata,19,Male,2024-09-04
83,Taimur Reddy,Hyderabad,45,Female,2025-01-16
84,Mahika Subramanian,Hyderabad,47,Male,2024-11-25
85,Siya Kohli,Kolkata,55,Male,2024-09-12
86,Navya Mammen,Kolkata,21,Female,2025-01-21
87,Biju Dugar,Kolkata,18,Male,2026-04-15
88,Raunak Roy,Kolkata,25,Male,2025-09-28
89,Drishya Sachar,Bangalore,46,Female,2025-12-20
90,Prerak Rau,Delhi,56,Male,2025-11-21
91,Dharmajan Balasubramanian,Delhi,20,Male,2025-06-26
92,Ishita Keer,Kolkata,49,Female,2025-10-18
93,Prerak Chandra,Delhi,27,Female,2026-01-19
94,Amani Saini,Delhi,27,Female,2025-03-26
95,Abram Varkey,Kolkata,36,Male,2025-08-31
96,Dhanuk Rajan,Delhi,51,Female,2025-10-28
97,Kiaan Kurian,Hyderabad,50,Male,2025-02-23
98,Gokul Balay,Mumbai,40,Female,2025-08-05
99,Miraya Garg,Mumbai,45,Male,2024-09-29
100,Madhup Sawhney,Kolkata,49,Female,2025-07-07
101,Myra Dua,Bangalore,24,Female,2026-03-15
102,Mishti Bhasin,Kolkata,46,Female,2026-01-03
103,Umang Bala,Bangalore,25,Female,2025-02-04
104,Kartik Sant,Mumbai,18,Male,2025-07-23
105,Kashvi Bhakta,Kolkata,20,Female,2025-04-13
106,Saksham Sarin,Hyderabad,41,Female,2025-06-02
107,Veer Khalsa,Delhi,40,Male,2024-07-19
108,Jiya Bail,Bangalore,25,Female,2025-02-12
109,Seher Manne,Delhi,54,Male,2025-10-19
110,Saira Dutt,Delhi,20,Female,2026-01-21
111,Vivaan Hari,Kolkata,50,Female,2024-06-26
112,Anay Bhavsar,Delhi,45,Female,2025-02-06
113,Indranil Sankaran,Hyderabad,25,Male,2026-05-04
114,Anika Kari,Delhi,51,Female,2025-05-26
115,Vidur Kumer,Kolkata,52,Female,2025-07-07
116,Faiyaz Barman,Hyderabad,49,Female,2026-05-14
117,Siya Dugal,Mumbai,41,Male,2026-02-04
118,Anvi Gaba,Delhi,31,Male,2024-07-11
119,Amani Varma,Kolkata,49,Female,2025-09-13
120,Prerak Bir,Mumbai,33,Male,2024-10-25
121,Devansh Kala,Mumbai,21,Female,2025-02-27
122,Bhamini Sibal,Bangalore,54,Female,2025-09-11
123,Ira Karan,Hyderabad,38,Female,2025-07-07
124,Hazel Ram,Delhi,31,Female,2025-07-04
125,Himmat Dutta,Kolkata,48,Female,2024-05-31
126,Tanya Choudhary,Bangalore,35,Female,2025-10-28
127,Parinaaz Garde,Hyderabad,24,Female,2024-12-14
128,Riya Sathe,Bangalore,27,Male,2024-07-20
129,Emir Bajwa,Hyderabad,24,Male,2025-12-18
130,Vihaan Bhavsar,Hyderabad,50,Male,2024-07-22
131,Oorja Yogi,Delhi,40,Male,2026-01-11
132,Vivaan Choudhry,Hyderabad,38,Male,2026-04-06
133,Romil Jani,Bangalore,36,Male,2025-07-06
134,Nayantara Hayer,Hyderabad,36,Male,2024-06-13
135,Anahi Bhargava,Delhi,53,Female,2025-03-26
136,Dharmajan Bains,Delhi,46,Female,2025-05-15
137,Arhaan Mani,Bangalore,35,Female,2025-09-01
138,Arhaan Gara,Mumbai,19,Female,2026-01-27
139,Tarini Jhaveri,Mumbai,18,Male,2026-01-13
140,Vardaniya Dhar,Hyderabad,22,Male,2025-09-29
141,Tejas Kumer,Kolkata,37,Female,2024-05-18
142,Vaibhav Sarraf,Hyderabad,28,Female,2025-05-02
143,Drishya Saxena,Bangalore,59,Male,2025-11-23
144,Adah Choudhary,Bangalore,19,Female,2025-03-12
145,Lakshit Salvi,Bangalore,20,Female,2024-12-07
146,Aniruddh Grover,Bangalore,40,Female,2025-05-19
147,Khushi Seshadri,Bangalore,29,Female,2025-02-05
148,Aradhya Sharaf,Delhi,37,Male,2025-05-14
149,Aradhya Gandhi,Mumbai,22,Female,2025-03-29
150,Ahana  Srinivasan,Bangalore,54,Female,2025-08-08
151,Jiya Dora,Kolkata,55,Male,2025-05-19
152,Piya Sami,Kolkata,47,Male,2024-06-05
153,Samarth Basu,Kolkata,26,Female,2025-06-17
154,Khushi Chaudhry,Kolkata,51,Male,2024-11-23
155,Diya Chander,Delhi,52,Female,2024-09-03
156,Vaibhav Deshmukh,Kolkata,39,Female,2024-12-12
157,Misha Bava,Bangalore,41,Male,2024-07-17
158,Ishita Sharma,Hyderabad,34,Female,2025-03-18
159,Damini Vyas,Kolkata,27,Female,2024-05-25
160,Rati Iyer,Delhi,47,Female,2026-04-19
161,Vritika Goswami,Delhi,40,Female,2025-09-27
162,Ivana Kunda,Kolkata,49,Male,2024-06-28
163,Jivika Chaudhry,Hyderabad,34,Male,2025-01-29
164,Jivika Choudhury,Kolkata,34,Female,2025-01-20
165,Adah Shah,Delhi,31,Male,2026-05-12
166,Elakshi Koshy,Mumbai,26,Female,2025-05-03
167,Purab Chaudhry,Bangalore,57,Female,2025-06-13
168,Yuvraj  Dewan,Delhi,19,Female,2025-08-03
169,Riya Banik,Kolkata,42,Female,2025-04-02
170,Tara Devan,Bangalore,56,Female,2025-06-27
171,Ira Dewan,Kolkata,26,Male,2024-07-26
172,Ryan Amble,Kolkata,39,Female,2026-04-21
173,Tanya Yohannan,Mumbai,21,Male,2024-12-09
174,Anahi Sharma,Bangalore,43,Male,2024-10-10
175,Hazel Bobal,Bangalore,46,Female,2025-12-23
176,Anika Khatri,Mumbai,51,Female,2026-03-17
177,Shaan Sodhi,Delhi,40,Female,2025-09-26
178,Raunak Rout,Kolkata,54,Female,2026-01-06
179,Kartik Kade,Hyderabad,28,Female,2025-02-09
180,Krish Bhagat,Kolkata,23,Male,2024-09-16
181,Hunar Choudhary,Kolkata,35,Female,2025-02-11
182,Chirag Sengupta,Delhi,38,Female,2025-06-23
183,Anvi D’Alia,Kolkata,59,Male,2025-10-01
184,Krish Sen,Mumbai,53,Male,2025-11-05
185,Aaina Doshi,Mumbai,58,Female,2026-01-08
186,Neelofar Mammen,Bangalore,55,Male,2025-04-16
187,Stuvan Chada,Hyderabad,51,Female,2025-01-13
188,Yashvi Sarin,Kolkata,34,Male,2026-03-08
189,Adira Ray,Kolkata,54,Male,2024-10-06
190,Pranay Dani,Delhi,42,Female,2025-09-22
191,Damini Sen,Mumbai,55,Male,2024-07-16
192,Adah Sarin,Hyderabad,29,Male,2025-02-02
193,Ahana  Cheema,Bangalore,40,Male,2025-03-26
194,Veer Sibal,Mumbai,59,Male,2026-01-26
195,Jiya Apte,Bangalore,39,Male,2024-08-25
196,Bhavin Chander,Delhi,38,Male,2025-12-23
197,Hrishita Dyal,Delhi,44,Female,2025-11-06
198,Hunar Grewal,Kolkata,48,Female,2025-01-20
199,Shaan Badami,Hyderabad,23,Male,2024-12-11
200,Emir Manda,Bangalore,44,Female,2025-02-18
201,Anahi Chahal,Mumbai,57,Female,2025-09-02
202,Charvi Varma,Delhi,51,Female,2025-02-09
203,Ahana  Gala,Kolkata,29,Male,2024-09-23
204,Priyansh Barad,Kolkata,24,Female,2026-03-13
205,Fateh Chakrabarti,Bangalore,27,Male,2026-01-09
206,Adah Guha,Delhi,34,Female,2025-01-26
207,Ritvik Bhavsar,Hyderabad,43,Male,2024-11-09
208,Hazel Hora,Delhi,38,Male,2025-03-02
209,Nitara Bera,Bangalore,45,Female,2025-06-28
210,Stuvan Sachar,Bangalore,19,Female,2025-07-16
211,Nishith Ganguly,Delhi,18,Male,2024-12-22
212,Jiya Bhakta,Bangalore,53,Female,2024-09-08
213,Anaya Thaker,Delhi,43,Female,2026-04-14
214,Shaan Hans,Mumbai,46,Female,2025-12-27
215,Zoya Jayaraman,Delhi,38,Male,2026-03-24
216,Mishti Wadhwa,Delhi,28,Male,2024-12-16
217,Biju Wali,Bangalore,57,Female,2025-02-04
218,Parinaaz Sibal,Bangalore,28,Female,2024-07-03
219,Manjari Ramesh,Kolkata,53,Female,2025-06-17
220,Bhavin Ravi,Kolkata,56,Male,2025-02-28
221,Vritika Saini,Mumbai,57,Male,2025-04-18
222,Parinaaz Chatterjee,Kolkata,52,Female,2024-08-20
223,Madhav Mandal,Delhi,51,Female,2024-08-26
224,Priyansh Chandra,Bangalore,41,Female,2026-03-16
225,Saanvi Ahluwalia,Kolkata,39,Female,2024-06-17
226,Shamik Butala,Kolkata,22,Female,2025-04-10
227,Raunak Talwar,Mumbai,50,Female,2026-04-13
228,Sumer Sant,Mumbai,53,Male,2024-12-12
229,Ranbir Chakrabarti,Delhi,37,Female,2026-02-21
230,Armaan Maharaj,Bangalore,36,Male,2026-03-14
231,Darshit Andra,Mumbai,52,Female,2025-12-03
232,Stuvan Anne,Kolkata,34,Female,2025-02-13
233,Arhaan Chander,Bangalore,51,Male,2024-11-25
234,Khushi Hans,Bangalore,26,Male,2024-09-17
235,Mishti Rama,Kolkata,43,Male,2025-06-18
236,Anya Reddy,Mumbai,19,Male,2025-02-24
237,Piya Goda,Kolkata,26,Female,2025-11-25
238,Pihu Agate,Bangalore,26,Male,2025-07-18
239,Lagan Bobal,Hyderabad,57,Female,2025-11-27
240,Indrajit Lal,Hyderabad,34,Male,2024-05-18
241,Charvi Chandra,Delhi,18,Female,2025-10-06
242,Khushi Borde,Kolkata,42,Female,2025-04-08
243,Himmat Banerjee,Kolkata,57,Female,2024-05-21
244,Ela Chaudhry,Delhi,59,Female,2025-10-09
245,Tara Shanker,Delhi,42,Female,2025-02-21
246,Pranay Chaudhary,Delhi,56,Female,2025-04-04
247,Tara Shan,Bangalore,52,Male,2024-09-30
248,Kismat Chauhan,Kolkata,20,Female,2024-10-26
249,Eshani Dewan,Bangalore,54,Male,2026-05-14
250,Madhup Kala,Delhi,47,Male,2024-07-08
251,Dhruv Tripathi,Kolkata,55,Female,2025-12-29
252,Emir Raja,Bangalore,51,Male,2025-08-06
253,Charvi Sani,Bangalore,29,Female,2024-08-02
254,Ivan Deo,Delhi,36,Male,2025-10-17
255,Kavya Sha,Kolkata,54,Female,2025-08-10
256,Riya Sethi,Delhi,34,Male,2026-01-30
257,Samaira Kari,Kolkata,27,Female,2025-05-09
258,Adah Kamdar,Hyderabad,29,Female,2025-08-01
259,Amani Toor,Mumbai,33,Female,2024-12-14
260,Damini Raj,Mumbai,41,Female,2025-12-29
261,Kavya Kalita,Mumbai,36,Male,2025-03-03
262,Divij Bhargava,Delhi,25,Female,2024-12-10
263,Nishith Lall,Hyderabad,48,Male,2025-02-04
264,Sana Bali,Kolkata,38,Male,2024-06-23
265,Pranay Sur,Bangalore,34,Male,2024-09-14
266,Reyansh Handa,Kolkata,40,Female,2024-07-17
